Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.11     0.00        1     0.00     0.00  free_pin_mappings
  0.00      6.11     0.00        1     0.00     0.00  free_placement_structs
  0.00      6.11     0.00        1     0.00     0.00  free_route_structs
  0.00      6.11     0.00        1     0.00     0.00  free_route_tree_timing_structs
  0.00      6.11     0.00        1     0.00     0.00  free_routing_structs
  0.00      6.11     0.00        1     0.00     0.00  free_rr_node_indices
  0.00      6.11     0.00        1     0.00     0.00  free_rr_node_route_structs
  0.00      6.11     0.00        1     0.00     0.00  free_sblock_pattern_lookup
  0.00      6.11     0.00        1     0.00     0.00  free_seg_details
  0.00      6.11     0.00        1     0.00     0.00  free_timing_driven_route_structs
  0.00      6.11     0.00        1     0.00     0.00  free_timing_graph
  0.00      6.11     0.00        1     0.00     0.00  free_trace_structs
  0.00      6.11     0.00        1     0.00     0.00  free_type_pin_to_track_map
  0.00      6.11     0.00        1     0.00     0.00  free_type_track_to_ipin_map
  0.00      6.11     0.00        1     0.00     0.00  free_unique_pin_list
  0.00      6.11     0.00        1     0.00     0.00  get_delay_normalization_fac
  0.00      6.11     0.00        1     0.00     0.00  get_longest_segment_length
  0.00      6.11     0.00        1     0.00     0.00  get_max_pins_per_net
  0.00      6.11     0.00        1     0.00     0.00  get_seg_track_counts
  0.00      6.11     0.00        1     0.00     0.00  init_draw_coords
  0.00      6.11     0.00        1     0.00     0.00  init_route_structs
  0.00      6.11     0.00        1     0.00     0.00  initial_placement
  0.00      6.11     0.00        1     0.00     0.00  load_route_bb
  0.00      6.11     0.00        1     0.00     0.00  load_rr_indexed_data_base_costs
  0.00      6.11     0.00        1     0.00     0.00  load_simplified_device
  0.00      6.11     0.00        1     0.00     0.00  load_subblock_info_to_type
  0.00      6.11     0.00        1     0.00     0.00  my_srandom
  0.00      6.11     0.00        1     0.00     6.08  place_and_route
  0.00      6.11     0.00        1     0.00     0.00  post_place_sync
  0.00      6.11     0.00        1     0.00     0.00  print_place
  0.00      6.11     0.00        1     0.00     0.02  read_netlist
  0.00      6.11     0.00        1     0.00     0.00  reset_placement
  0.00      6.11     0.00        1     0.00     0.00  restore_original_device
  0.00      6.11     0.00        1     0.00     0.02  rr_graph_externals
  0.00      6.11     0.00        1     0.00     0.00  set_graphics_state
  0.00      6.11     0.00        1     0.00     0.00  setup_chan_width
  0.00      6.11     0.00        1     0.00     0.00  start_hash_table_iterator
  0.00      6.11     0.00        1     0.00     0.00  starting_t
  0.00      6.11     0.00        1     0.00     6.08  try_place

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.16% of 6.11 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.8    0.00    6.10                 main [1]
                0.00    6.08       1/1           place_and_route [2]
                0.00    0.02       1/1           SetupVPR [42]
