Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.75     0.00        2     0.00     0.00  alloc_matrix4
  0.00      2.75     0.00        2     0.00     0.00  comp_bb_cost
  0.00      2.75     0.00        2     0.00     0.00  free_hash_table
  0.00      2.75     0.00        2     0.00     0.00  free_rr_graph
  0.00      2.75     0.00        2     0.00     0.00  init_chan
  0.00      2.75     0.00        2     0.00     0.00  load_chan_rr_indices
  0.00      2.75     0.00        2     0.00     0.00  load_rr_indexed_data_T_values
  0.00      2.75     0.00        2     0.00     0.00  my_fopen
  0.00      2.75     0.00        1     0.00     0.00  ProcessTypes
  0.00      2.75     0.00        1     0.00     0.00  XmlReadArch
  0.00      2.75     0.00        1     0.00     0.00  alloc_and_load_rr_indexed_data
  0.00      2.75     0.00        1     0.00     0.00  alloc_and_load_rr_node_indices
  0.00      2.75     0.00        1     0.00     0.00  alloc_and_load_rr_node_route_structs
  0.00      2.75     0.00        1     0.00     0.00  alloc_and_load_seg_details
  0.00      2.75     0.00        1     0.00     0.00  alloc_and_load_timing_graph
  0.00      2.75     0.00        1     0.00     0.00  alloc_and_load_timing_graph_levels
  0.00      2.75     0.00        1     0.00     0.21  alloc_lookups_and_criticalities
  0.00      2.75     0.00        1     0.00     0.00  alloc_net_delay
  0.00      2.75     0.00        1     0.00     0.00  alloc_route_structs
  0.00      2.75     0.00        1     0.00     0.00  alloc_route_tree_timing_structs
  0.00      2.75     0.00        1     0.00     0.00  alloc_sblock_pattern_lookup
  0.00      2.75     0.00        1     0.00     0.00  alloc_timing_driven_route_structs
  0.00      2.75     0.00        1     0.00     0.18  build_rr_graph
  0.00      2.75     0.00        1     0.00     0.00  check_netlist
  0.00      2.75     0.00        1     0.00     0.00  check_rr_graph
  0.00      2.75     0.00        1     0.00     0.00  check_timing_graph
  0.00      2.75     0.00        1     0.00     0.21  compute_delay_lookup_tables
  0.00      2.75     0.00        1     0.00     0.00  ezxml_new
  0.00      2.75     0.00        1     0.00     0.00  ezxml_parse_file
  0.00      2.75     0.00        1     0.00     0.00  ezxml_parse_str
  0.00      2.75     0.00        1     0.00     0.00  ezxml_str2utf8
  0.00      2.75     0.00        1     0.00     0.00  free_int_list
  0.00      2.75     0.00        1     0.00     0.00  free_lookups_and_criticalities
  0.00      2.75     0.00        1     0.00     0.00  free_net_delay
  0.00      2.75     0.00        1     0.00     0.00  free_route_structs
  0.00      2.75     0.00        1     0.00     0.00  free_route_tree_timing_structs
  0.00      2.75     0.00        1     0.00     0.00  free_rr_node_indices
  0.00      2.75     0.00        1     0.00     0.00  free_rr_node_route_structs
  0.00      2.75     0.00        1     0.00     0.00  free_sblock_pattern_lookup
  0.00      2.75     0.00        1     0.00     0.00  free_seg_details
  0.00      2.75     0.00        1     0.00     0.00  free_timing_driven_route_structs
  0.00      2.75     0.00        1     0.00     0.00  free_timing_graph
  0.00      2.75     0.00        1     0.00     0.00  free_trace_structs
  0.00      2.75     0.00        1     0.00     0.00  init_draw_coords
  0.00      2.75     0.00        1     0.00     0.00  init_route_structs
  0.00      2.75     0.00        1     0.00     0.00  load_route_bb
  0.00      2.75     0.00        1     0.00     0.00  my_srandom
  0.00      2.75     0.00        1     0.00     0.00  post_place_sync
  0.00      2.75     0.00        1     0.00     0.00  print_place
  0.00      2.75     0.00        1     0.00     0.00  read_netlist
  0.00      2.75     0.00        1     0.00     0.00  start_hash_table_iterator
  0.00      2.75     0.00        1     0.00     0.00  sync_nets_to_blocks

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.36% of 2.75 seconds

index % time    self  children    called     name
                0.04    2.71       1/1           place_and_route [2]
[1]     99.8    0.04    2.71       1         try_place [1]
                1.82    0.59  869998/869998      try_swap [3]
                0.00    0.21       1/1           alloc_lookups_and_criticalities [5]
                0.07    0.00     124/124         load_net_slack [11]
                0.01    0.00     511/511         get_mst_of_net [20]
                0.00    0.00     139/139         comp_td_costs [29]
                0.00    0.00       2/2           comp_bb_cost [34]
                0.00    0.00     138/3022684     my_irand [14]
                0.00    0.00    2086/377666      my_malloc [37]
                0.00    0.00     124/124         load_timing_graph_net_delays [85]
                0.00    0.00     123/123         update_screen [87]
                0.00    0.00     123/123         load_criticalities [86]
                0.00    0.00       5/171         my_calloc [82]
                0.00    0.00       1/2           init_chan [108]
                0.00    0.00       1/437         alloc_matrix [72]
                0.00    0.00       1/1           init_draw_coords [140]
                0.00    0.00       1/430         free_matrix [74]
                0.00    0.00       1/1           free_net_delay [130]
                0.00    0.00       1/1           free_lookups_and_criticalities [129]
-----------------------------------------------
                                                 <spontaneous>
[2]     99.8    0.00    2.75                 place_and_route [2]
                0.04    2.71       1/1           try_place [1]
                0.00    0.00       1/1           print_place [145]
                0.00    0.00       1/1           post_place_sync [144]
-----------------------------------------------
                1.82    0.59  869998/869998      try_place [1]
[3]     87.7    1.82    0.59  869998         try_swap [3]
                0.43    0.00 25424969/25584958     comp_td_point_to_point_delay [4]
                0.07    0.00 3008047/3008047     update_bb [12]
                0.06    0.00  315164/315200      get_bb_from_scratch [13]
                0.03    0.00 3022546/3022684     my_irand [14]
                0.00    0.00  638248/638248      my_frand [36]
                0.00    0.00       4/377666      my_malloc [37]
-----------------------------------------------
                0.00    0.00  159989/25584958     comp_td_costs [29]
                0.43    0.00 25424969/25584958     try_swap [3]
[4]     15.6    0.43    0.00 25584958         comp_td_point_to_point_delay [4]
-----------------------------------------------
                0.00    0.21       1/1           try_place [1]
[5]      7.6    0.00    0.21       1         alloc_lookups_and_criticalities [5]
                0.00    0.21       1/1           compute_delay_lookup_tables [6]
                0.00    0.00     511/6904        my_chunk_malloc [51]
                0.00    0.00       1/1           alloc_and_load_timing_graph [114]
                0.00    0.00       1/1           alloc_net_delay [116]
                0.00    0.00       1/377666      my_malloc [37]
-----------------------------------------------
                0.00    0.21       1/1           alloc_lookups_and_criticalities [5]
[6]      7.6    0.00    0.21       1         compute_delay_lookup_tables [6]
                0.00    0.18       1/1           build_rr_graph [7]
                0.00    0.02     359/359         postscript [17]
                0.00    0.00     119/477         timing_driven_route_net [16]
                0.00    0.00     119/478         load_net_rr_terminals [32]
                0.00    0.00     153/377666      my_malloc [37]
                0.00    0.00       7/437         alloc_matrix [72]
                0.00    0.00       3/430         free_matrix [74]
                0.00    0.00       2/2           free_rr_graph [107]
                0.00    0.00       1/2           init_chan [108]
                0.00    0.00       1/1           alloc_route_structs [117]
                0.00    0.00       1/1           alloc_and_load_rr_node_route_structs [112]
                0.00    0.00       1/1           alloc_route_tree_timing_structs [118]
                0.00    0.00       1/1           alloc_timing_driven_route_structs [120]
                0.00    0.00       1/1           init_route_structs [141]
                0.00    0.00       1/1           free_rr_node_route_structs [134]
                0.00    0.00       1/1           free_trace_structs [139]
                0.00    0.00       1/1           free_route_structs [131]
                0.00    0.00       1/1           free_route_tree_timing_structs [132]
                0.00    0.00       1/1           free_timing_driven_route_structs [137]
-----------------------------------------------
                0.00    0.18       1/1           compute_delay_lookup_tables [6]
[7]      6.5    0.00    0.18       1         build_rr_graph [7]
                0.00    0.15   55176/55176       get_track_to_tracks [9]
                0.01    0.00   15972/15972       get_track_to_ipins [19]
                0.01    0.00       1/1           add_rr_graph_C_from_switches [22]
                0.00    0.01    1120/1120        get_unidir_opin_connections [23]
                0.00    0.00     121/121         load_sblock_pattern_lookup [30]
                0.00    0.00   25078/1342470     get_rr_node_index [15]
                0.00    0.00       1/1           alloc_and_load_rr_indexed_data [33]
                0.00    0.00       1/478         load_net_rr_terminals [32]
                0.00    0.00   29040/29040       get_seg_start [44]
                0.00    0.00   29040/29040       get_seg_end [43]
                0.00    0.00   17092/17092       alloc_and_load_edges_and_switches [50]
                0.00    0.00    6464/377666      my_malloc [37]
                0.00    0.00       3/3           alloc_and_load_pin_to_track_map [99]
                0.00    0.00       3/3           free_matrix4 [101]
                0.00    0.00       2/5           alloc_matrix3 [93]
                0.00    0.00       2/4           get_class_range_for_block [97]
                0.00    0.00       2/430         free_matrix [74]
                0.00    0.00       2/4           free_matrix3 [96]
                0.00    0.00       2/437         alloc_matrix [72]
                0.00    0.00       1/1           alloc_and_load_seg_details [113]
                0.00    0.00       1/1           alloc_and_load_rr_node_indices [111]
                0.00    0.00       1/6904        my_chunk_malloc [51]
                0.00    0.00       1/1           check_rr_graph [122]
                0.00    0.00       1/1           free_seg_details [136]
                0.00    0.00       1/1           free_sblock_pattern_lookup [135]
                0.00    0.00       1/1           alloc_sblock_pattern_lookup [119]
-----------------------------------------------
                0.01    0.14   65868/65868       get_track_to_tracks [9]
[8]      5.6    0.01    0.14   65868         get_unidir_track_to_chan_seg [8]
                0.12    0.00   65868/68548       label_wire_muxes [10]
                0.03    0.00 1241988/1342470     get_rr_node_index [15]
                0.00    0.00   65868/218668      insert_in_edge_list [40]
                0.00    0.00   30888/377666      my_malloc [37]
-----------------------------------------------
                0.00    0.15   55176/55176       build_rr_graph [7]
[9]      5.6    0.00    0.15   55176         get_track_to_tracks [9]
                0.01    0.14   65868/65868       get_unidir_track_to_chan_seg [8]
-----------------------------------------------
